customer_id,age,age_group,gender,education,employment_status,marital_status,city_tier,occupation,customer_since,customer_tenure_years,income_band
CUST-00001,56,50-64,Female,High School,Self-Employed,Single,Tier 3,Healthcare,2021-01-17,4.95,Upper-Middle ($6k-$10k)
CUST-00002,69,65+,Male,Associate,Retired,Single,Tier 1,Retired,2022-03-15,3.8,Middle ($2.5k-$6k)
CUST-00003,46,35-49,Female,Associate,Employed,Single,Tier 2,Finance/Banking,2019-12-13,6.05,Middle ($2.5k-$6k)
CUST-00004,32,25-34,Male,Doctorate,Employed,Single,Tier 3,Trades/Manufacturing,2019-02-17,6.87,Upper-Middle ($6k-$10k)
CUST-00005,60,50-64,Male,Bachelor'S,Employed,Married,Tier 1,Management/Executive,2022-11-01,3.16,Upper-Middle ($6k-$10k)
CUST-00006,25,25-34,Male,Bachelor'S,Employed,Married,Tier 3,Healthcare,2020-07-03,5.49,Middle ($2.5k-$6k)
CUST-00007,38,35-49,Male,Doctorate,Employed,Married,Tier 3,Trades/Manufacturing,2022-09-06,3.32,High (>$10k)
CUST-00008,56,50-64,Male,High School,Employed,Divorced,Tier 1,Software/Tech,2019-11-16,6.12,Middle ($2.5k-$6k)
CUST-00009,75,65+,Male,Bachelor'S,Retired,Married,Tier 1,Retired,2019-07-05,6.49,Upper-Middle ($6k-$10k)
CUST-00010,36,35-49,Female,Bachelor'S,Employed,Single,Tier 1,Education,2024-10-08,1.23,Middle ($2.5k-$6k)
CUST-00011,40,35-49,Male,High School,Employed,Married,Tier 1,Finance/Banking,2021-10-22,4.19,Middle ($2.5k-$6k)
CUST-00012,28,25-34,Male,Bachelor'S,Employed,Married,Tier 2,Trades/Manufacturing,2020-05-06,5.65,Middle ($2.5k-$6k)
CUST-00013,28,25-34,Male,High School,Self-Employed,Married,Tier 3,Retail/Hospitality,2021-07-21,4.45,Middle ($2.5k-$6k)
CUST-00014,41,35-49,Female,High School,Employed,Married,Tier 2,Healthcare,2024-02-13,1.88,Middle ($2.5k-$6k)
CUST-00015,70,65+,Male,High School,Employed,Single,Tier 2,Healthcare,2018-03-28,7.76,Middle ($2.5k-$6k)
CUST-00016,53,50-64,Male,Master'S,Self-Employed,Married,Tier 1,Other,2023-08-08,2.4,Middle ($2.5k-$6k)
CUST-00017,57,50-64,Female,Bachelor'S,Self-Employed,Married,Tier 2,Other,2022-02-20,3.86,Upper-Middle ($6k-$10k)
CUST-00018,41,35-49,Female,Bachelor'S,Self-Employed,Married,Tier 2,Retail/Hospitality,2020-04-12,5.72,Middle ($2.5k-$6k)
CUST-00019,20,18-24,Female,Bachelor'S,Student,Single,Tier 2,Student,2022-01-31,3.92,Low (<$2.5k)
CUST-00020,39,35-49,Female,Associate,Unemployed,Single,Tier 2,Unemployed,2024-01-26,1.93,Low (<$2.5k)
CUST-00021,70,65+,Male,Bachelor'S,Employed,Married,Tier 3,Finance/Banking,2023-01-21,2.94,Upper-Middle ($6k-$10k)
CUST-00022,19,18-24,Female,Bachelor'S,Student,Divorced,Tier 2,Student,2022-01-06,3.98,Low (<$2.5k)
CUST-00023,41,35-49,Male,High School,Unemployed,Single,Tier 1,Unemployed,2020-12-04,5.07,Low (<$2.5k)
CUST-00024,61,50-64,Male,Bachelor'S,Employed,Married,Tier 1,Healthcare,2021-09-08,4.31,Upper-Middle ($6k-$10k)
CUST-00025,47,35-49,Male,High School,Employed,Single,Tier 1,Other,2023-08-07,2.4,Middle ($2.5k-$6k)
CUST-00026,55,50-64,Female,High School,Employed,Single,Tier 2,Finance/Banking,2023-08-07,2.4,Middle ($2.5k-$6k)
CUST-00027,19,18-24,Male,Master'S,Student,Married,Tier 1,Student,2021-05-10,4.64,Low (<$2.5k)
CUST-00028,38,35-49,Female,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2018-10-03,7.24,Upper-Middle ($6k-$10k)
CUST-00029,50,50-64,Female,Bachelor'S,Employed,Married,Tier 1,Finance/Banking,2018-05-31,7.59,Upper-Middle ($6k-$10k)
CUST-00030,29,25-34,Male,Bachelor'S,Employed,Married,Tier 2,Education,2024-02-18,1.87,Middle ($2.5k-$6k)
CUST-00031,75,65+,Female,Associate,Retired,Married,Tier 1,Retired,2021-11-16,4.12,Middle ($2.5k-$6k)
CUST-00032,39,35-49,Female,Bachelor'S,Self-Employed,Single,Tier 2,Healthcare,2024-11-01,1.16,Upper-Middle ($6k-$10k)
CUST-00033,61,50-64,Female,Bachelor'S,Employed,Single,Tier 3,Software/Tech,2019-01-09,6.98,Upper-Middle ($6k-$10k)
CUST-00034,42,35-49,Male,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2023-10-09,2.23,Upper-Middle ($6k-$10k)
CUST-00035,66,65+,Female,Doctorate,Retired,Single,Tier 2,Retired,2018-06-05,7.57,Upper-Middle ($6k-$10k)
CUST-00036,44,35-49,Male,Doctorate,Employed,Single,Tier 2,Healthcare,2022-04-04,3.74,High (>$10k)
CUST-00037,59,50-64,Female,Bachelor'S,Employed,Married,Tier 1,Management/Executive,2019-06-22,6.53,High (>$10k)
CUST-00038,45,35-49,Female,Master'S,Employed,Widowed,Tier 1,Trades/Manufacturing,2023-01-06,2.98,Upper-Middle ($6k-$10k)
CUST-00039,33,25-34,Male,Bachelor'S,Employed,Single,Tier 3,Software/Tech,2020-09-23,5.27,Upper-Middle ($6k-$10k)
CUST-00040,32,25-34,Female,Bachelor'S,Employed,Married,Tier 2,Healthcare,2024-08-18,1.37,Middle ($2.5k-$6k)
CUST-00041,64,50-64,Female,High School,Self-Employed,Single,Tier 1,Software/Tech,2021-11-27,4.09,Middle ($2.5k-$6k)
CUST-00042,68,65+,Female,Bachelor'S,Retired,Single,Tier 1,Retired,2019-08-28,6.34,Upper-Middle ($6k-$10k)
CUST-00043,61,50-64,Male,Master'S,Employed,Married,Tier 2,Software/Tech,2023-08-05,2.41,High (>$10k)
CUST-00044,72,65+,Male,Bachelor'S,Employed,Married,Tier 3,Retail/Hospitality,2019-02-05,6.9,Upper-Middle ($6k-$10k)
CUST-00045,69,65+,Non-Binary,Bachelor'S,Employed,Single,Tier 2,Finance/Banking,2020-07-22,5.44,Upper-Middle ($6k-$10k)
CUST-00046,74,65+,Female,High School,Retired,Divorced,Tier 1,Retired,2021-09-03,4.33,Middle ($2.5k-$6k)
CUST-00047,20,18-24,Female,Associate,Student,Married,Tier 2,Student,2024-12-11,1.05,Low (<$2.5k)
CUST-00048,54,50-64,Male,High School,Employed,Married,Tier 1,Other,2021-02-13,4.88,Middle ($2.5k-$6k)
CUST-00049,68,65+,Male,Associate,Retired,Married,Tier 1,Retired,2019-11-11,6.14,Middle ($2.5k-$6k)
CUST-00050,24,18-24,Female,Bachelor'S,Employed,Single,Tier 1,Software/Tech,2024-01-16,1.96,Upper-Middle ($6k-$10k)
CUST-00051,38,35-49,Female,Associate,Employed,Married,Tier 2,Software/Tech,2020-05-15,5.63,Middle ($2.5k-$6k)
CUST-00052,26,25-34,Male,Bachelor'S,Employed,Single,Tier 2,Software/Tech,2020-10-13,5.22,Upper-Middle ($6k-$10k)
CUST-00053,56,50-64,Female,Bachelor'S,Employed,Single,Tier 2,Retail/Hospitality,2019-06-22,6.53,Upper-Middle ($6k-$10k)
CUST-00054,35,35-49,Female,Associate,Self-Employed,Married,Tier 2,Finance/Banking,2024-11-06,1.15,Upper-Middle ($6k-$10k)
CUST-00055,21,18-24,Male,High School,Employed,Single,Tier 2,Trades/Manufacturing,2022-04-16,3.71,Middle ($2.5k-$6k)
CUST-00056,42,35-49,Male,Master'S,Employed,Married,Tier 3,Trades/Manufacturing,2020-11-01,5.16,Upper-Middle ($6k-$10k)
CUST-00057,31,25-34,Male,High School,Self-Employed,Married,Tier 1,Trades/Manufacturing,2023-01-24,2.93,Middle ($2.5k-$6k)
CUST-00058,67,65+,Female,High School,Employed,Married,Tier 1,Healthcare,2020-06-15,5.54,Upper-Middle ($6k-$10k)
CUST-00059,75,65+,Male,Master'S,Retired,Married,Tier 1,Retired,2024-10-29,1.17,High (>$10k)
CUST-00060,26,25-34,Male,Doctorate,Employed,Divorced,Tier 1,Software/Tech,2023-10-08,2.23,High (>$10k)
CUST-00061,43,35-49,Female,Bachelor'S,Employed,Widowed,Tier 1,Retail/Hospitality,2024-03-15,1.8,Upper-Middle ($6k-$10k)
CUST-00062,70,65+,Male,High School,Retired,Divorced,Tier 3,Retired,2020-11-26,5.1,Middle ($2.5k-$6k)
CUST-00063,19,18-24,Male,High School,Employed,Married,Tier 1,Software/Tech,2022-12-03,3.08,Middle ($2.5k-$6k)
CUST-00064,37,35-49,Male,Doctorate,Employed,Married,Tier 1,Other,2022-04-09,3.73,Upper-Middle ($6k-$10k)
CUST-00065,45,35-49,Female,Master'S,Self-Employed,Single,Tier 2,Finance/Banking,2020-12-06,5.07,High (>$10k)
CUST-00066,64,50-64,Female,Bachelor'S,Employed,Married,Tier 1,Software/Tech,2022-02-24,3.85,Upper-Middle ($6k-$10k)
CUST-00067,24,18-24,Male,High School,Employed,Married,Tier 1,Healthcare,2018-03-24,7.77,Middle ($2.5k-$6k)
CUST-00068,61,50-64,Female,High School,Self-Employed,Married,Tier 2,Other,2018-08-18,7.37,Upper-Middle ($6k-$10k)
CUST-00069,25,25-34,Female,High School,Self-Employed,Married,Tier 3,Healthcare,2021-01-08,4.98,Middle ($2.5k-$6k)
CUST-00070,64,50-64,Male,Bachelor'S,Employed,Married,Tier 1,Education,2021-11-02,4.16,Middle ($2.5k-$6k)
CUST-00071,52,50-64,Male,High School,Employed,Divorced,Tier 1,Finance/Banking,2019-08-15,6.38,Middle ($2.5k-$6k)
CUST-00072,31,25-34,Male,Doctorate,Employed,Single,Tier 3,Retail/Hospitality,2021-01-02,4.99,High (>$10k)
CUST-00073,34,25-34,Male,High School,Employed,Married,Tier 1,Finance/Banking,2019-09-13,6.3,Middle ($2.5k-$6k)
CUST-00074,53,50-64,Female,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2024-12-16,1.04,Upper-Middle ($6k-$10k)
CUST-00075,67,65+,Female,High School,Retired,Single,Tier 1,Retired,2018-06-16,7.54,Upper-Middle ($6k-$10k)
CUST-00076,57,50-64,Male,Bachelor'S,Employed,Married,Tier 2,Healthcare,2023-02-02,2.91,Upper-Middle ($6k-$10k)
CUST-00077,21,18-24,Male,High School,Student,Married,Tier 2,Student,2023-10-30,2.17,Low (<$2.5k)
CUST-00078,19,18-24,Male,Bachelor'S,Student,Single,Tier 1,Student,2023-11-28,2.09,Low (<$2.5k)
CUST-00079,23,18-24,Female,Bachelor'S,Unemployed,Married,Tier 3,Unemployed,2019-03-07,6.82,Low (<$2.5k)
CUST-00080,71,65+,Male,High School,Retired,Single,Tier 2,Retired,2023-09-07,2.32,Middle ($2.5k-$6k)
CUST-00081,59,50-64,Female,Master'S,Self-Employed,Married,Tier 2,Software/Tech,2020-06-15,5.54,High (>$10k)
CUST-00082,21,18-24,Male,Bachelor'S,Student,Single,Tier 2,Student,2022-04-21,3.7,Low (<$2.5k)
CUST-00083,71,65+,Female,Master'S,Retired,Married,Tier 2,Retired,2021-09-26,4.26,Upper-Middle ($6k-$10k)
CUST-00084,46,35-49,Female,Master'S,Employed,Single,Tier 2,Education,2020-01-04,5.99,Upper-Middle ($6k-$10k)
CUST-00085,35,35-49,Male,Master'S,Employed,Married,Tier 1,Trades/Manufacturing,2024-07-08,1.48,Upper-Middle ($6k-$10k)
CUST-00086,43,35-49,Female,High School,Employed,Married,Tier 1,Education,2019-11-21,6.11,Middle ($2.5k-$6k)
CUST-00087,61,50-64,Non-Binary,High School,Employed,Married,Tier 1,Retail/Hospitality,2019-11-24,6.1,Middle ($2.5k-$6k)
CUST-00088,51,50-64,Male,Doctorate,Employed,Married,Tier 1,Finance/Banking,2020-06-20,5.53,High (>$10k)
CUST-00089,27,25-34,Female,Bachelor'S,Employed,Married,Tier 3,Education,2022-08-01,3.42,Middle ($2.5k-$6k)
CUST-00090,53,50-64,Male,High School,Self-Employed,Married,Tier 3,Software/Tech,2020-02-23,5.85,Middle ($2.5k-$6k)
CUST-00091,31,25-34,Female,Bachelor'S,Employed,Married,Tier 1,Education,2022-10-07,3.23,Middle ($2.5k-$6k)
CUST-00092,48,35-49,Male,Associate,Employed,Single,Tier 1,Other,2018-01-22,7.94,Middle ($2.5k-$6k)
CUST-00093,65,65+,Female,Bachelor'S,Retired,Divorced,Tier 2,Retired,2024-10-09,1.23,Upper-Middle ($6k-$10k)
CUST-00094,32,25-34,Female,Master'S,Self-Employed,Married,Tier 2,Finance/Banking,2021-01-18,4.95,High (>$10k)
CUST-00095,25,25-34,Female,Bachelor'S,Employed,Divorced,Tier 2,Retail/Hospitality,2024-04-27,1.68,Middle ($2.5k-$6k)
CUST-00096,31,25-34,Female,Associate,Self-Employed,Married,Tier 2,Trades/Manufacturing,2022-10-24,3.19,Middle ($2.5k-$6k)
